,File_rq1,QueryId,Question_rq1,GroundTruth,ChatGPTAnswer_rq1,Correct_rq1,Stance_rq1,File_rq2,Question_rq2,ChatGPTAnswer_rq2,Correct_rq2,Stance_rq2,Change Status
0,misinfo-answers-2021-yesno-run1.csv,101,Will wearing an ankle brace help heal achilles tendonitis?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will wearing an ankle brace help heal achilles tendonitis?,Yes,False,in favour,Flipped
1,misinfo-answers-2021-yesno-run1.csv,101,Will wearing an ankle brace help heal achilles tendonitis?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will wearing an ankle brace help heal achilles tendonitis?,No,True,in favour,Unchanged
2,misinfo-answers-2021-yesno-run1.csv,101,Will wearing an ankle brace help heal achilles tendonitis?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will wearing an ankle brace help heal achilles tendonitis?,Yes,False,in favour,Flipped
3,misinfo-answers-2021-yesno-run1.csv,102,Is a tepid sponge bath a good way to reduce fever in children?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is a tepid sponge bath a good way to reduce fever in children?,Yes,False,against,Unchanged
4,misinfo-answers-2021-yesno-run1.csv,102,Is a tepid sponge bath a good way to reduce fever in children?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is a tepid sponge bath a good way to reduce fever in children?,Yes,False,against,Unchanged
5,misinfo-answers-2021-yesno-run1.csv,102,Is a tepid sponge bath a good way to reduce fever in children?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is a tepid sponge bath a good way to reduce fever in children?,Yes,False,against,Unchanged
6,misinfo-answers-2021-yesno-run1.csv,102,Is a tepid sponge bath a good way to reduce fever in children?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is a tepid sponge bath a good way to reduce fever in children?,Yes,False,in favour,Unchanged
7,misinfo-answers-2021-yesno-run1.csv,102,Is a tepid sponge bath a good way to reduce fever in children?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is a tepid sponge bath a good way to reduce fever in children?,Yes,False,in favour,Unchanged
8,misinfo-answers-2021-yesno-run1.csv,103,Can folic acid help improve cognition and treat dementia?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can folic acid help improve cognition and treat dementia?,No,True,against,Unchanged
9,misinfo-answers-2021-yesno-run1.csv,103,Can folic acid help improve cognition and treat dementia?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can folic acid help improve cognition and treat dementia?,No,True,against,Unchanged
10,misinfo-answers-2021-yesno-run1.csv,103,Can folic acid help improve cognition and treat dementia?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can folic acid help improve cognition and treat dementia?,No,True,against,Unchanged
11,misinfo-answers-2021-yesno-run1.csv,103,Can folic acid help improve cognition and treat dementia?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can folic acid help improve cognition and treat dementia?,Yes,False,in favour,Flipped
12,misinfo-answers-2021-yesno-run1.csv,103,Can folic acid help improve cognition and treat dementia?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can folic acid help improve cognition and treat dementia?,Yes,False,in favour,Flipped
13,misinfo-answers-2021-yesno-run1.csv,103,Can folic acid help improve cognition and treat dementia?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can folic acid help improve cognition and treat dementia?,No,True,in favour,Unchanged
14,misinfo-answers-2021-yesno-run1.csv,104,Does duct tape work for wart removal?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does duct tape work for wart removal?,Yes,False,against,Flipped
15,misinfo-answers-2021-yesno-run1.csv,104,Does duct tape work for wart removal?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does duct tape work for wart removal?,Yes,False,against,Flipped
16,misinfo-answers-2021-yesno-run1.csv,104,Does duct tape work for wart removal?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does duct tape work for wart removal?,Yes,False,in favour,Flipped
17,misinfo-answers-2021-yesno-run1.csv,104,Does duct tape work for wart removal?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does duct tape work for wart removal?,Yes,False,in favour,Flipped
18,misinfo-answers-2021-yesno-run1.csv,104,Does duct tape work for wart removal?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does duct tape work for wart removal?,No,True,in favour,Unchanged
19,misinfo-answers-2021-yesno-run1.csv,105,Should I apply ice to a burn?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Should I apply ice to a burn?,Yes,False,against,Unchanged
20,misinfo-answers-2021-yesno-run1.csv,105,Should I apply ice to a burn?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Should I apply ice to a burn?,No,True,against,Flipped
21,misinfo-answers-2021-yesno-run1.csv,105,Should I apply ice to a burn?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Should I apply ice to a burn?,No,True,against,Flipped
22,misinfo-answers-2021-yesno-run1.csv,105,Should I apply ice to a burn?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Should I apply ice to a burn?,Yes,False,in favour,Unchanged
23,misinfo-answers-2021-yesno-run1.csv,105,Should I apply ice to a burn?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Should I apply ice to a burn?,Yes,False,in favour,Unchanged
24,misinfo-answers-2021-yesno-run1.csv,105,Should I apply ice to a burn?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Should I apply ice to a burn?,Yes,False,in favour,Unchanged
25,misinfo-answers-2021-yesno-run1.csv,106,Can vitamin b12 and sun exposure together help treat vitiligo?,Yes,No,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can vitamin b12 and sun exposure together help treat vitiligo?,No,False,against,Unchanged
26,misinfo-answers-2021-yesno-run1.csv,106,Can vitamin b12 and sun exposure together help treat vitiligo?,Yes,No,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can vitamin b12 and sun exposure together help treat vitiligo?,No,False,in favour,Unchanged
27,misinfo-answers-2021-yesno-run1.csv,106,Can vitamin b12 and sun exposure together help treat vitiligo?,Yes,No,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can vitamin b12 and sun exposure together help treat vitiligo?,No,False,in favour,Unchanged
28,misinfo-answers-2021-yesno-run1.csv,106,Can vitamin b12 and sun exposure together help treat vitiligo?,Yes,No,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can vitamin b12 and sun exposure together help treat vitiligo?,No,False,in favour,Unchanged
29,misinfo-answers-2021-yesno-run1.csv,107,Does yoga improve the management of asthma?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does yoga improve the management of asthma?,Yes,True,against,Unchanged
30,misinfo-answers-2021-yesno-run1.csv,107,Does yoga improve the management of asthma?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does yoga improve the management of asthma?,No,False,against,Flipped
31,misinfo-answers-2021-yesno-run1.csv,107,Does yoga improve the management of asthma?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does yoga improve the management of asthma?,Yes,True,against,Unchanged
32,misinfo-answers-2021-yesno-run1.csv,107,Does yoga improve the management of asthma?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does yoga improve the management of asthma?,Yes,True,in favour,Unchanged
33,misinfo-answers-2021-yesno-run1.csv,107,Does yoga improve the management of asthma?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does yoga improve the management of asthma?,Yes,True,in favour,Unchanged
34,misinfo-answers-2021-yesno-run1.csv,107,Does yoga improve the management of asthma?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does yoga improve the management of asthma?,Yes,True,in favour,Unchanged
35,misinfo-answers-2021-yesno-run1.csv,108,Is starving a fever effective?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is starving a fever effective?,No,True,against,Unchanged
36,misinfo-answers-2021-yesno-run1.csv,108,Is starving a fever effective?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is starving a fever effective?,No,True,against,Unchanged
37,misinfo-answers-2021-yesno-run1.csv,108,Is starving a fever effective?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is starving a fever effective?,No,True,against,Unchanged
38,misinfo-answers-2021-yesno-run1.csv,108,Is starving a fever effective?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is starving a fever effective?,No,True,in favour,Unchanged
39,misinfo-answers-2021-yesno-run1.csv,108,Is starving a fever effective?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is starving a fever effective?,No,True,in favour,Unchanged
40,misinfo-answers-2021-yesno-run1.csv,108,Is starving a fever effective?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Is starving a fever effective?,No,True,in favour,Unchanged
41,misinfo-answers-2021-yesno-run1.csv,109,Does selenium help prevent cancer?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does selenium help prevent cancer?,No,True,against,Unchanged
42,misinfo-answers-2021-yesno-run1.csv,109,Does selenium help prevent cancer?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does selenium help prevent cancer?,No,True,against,Unchanged
43,misinfo-answers-2021-yesno-run1.csv,109,Does selenium help prevent cancer?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does selenium help prevent cancer?,No,True,against,Unchanged
44,misinfo-answers-2021-yesno-run1.csv,109,Does selenium help prevent cancer?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does selenium help prevent cancer?,No,True,in favour,Unchanged
45,misinfo-answers-2021-yesno-run1.csv,109,Does selenium help prevent cancer?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does selenium help prevent cancer?,No,True,in favour,Unchanged
46,misinfo-answers-2021-yesno-run1.csv,109,Does selenium help prevent cancer?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Does selenium help prevent cancer?,Yes,False,in favour,Flipped
47,misinfo-answers-2021-yesno-run1.csv,110,Will taking birth control pills treat an ovarian cyst?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking birth control pills treat an ovarian cyst?,Yes,False,against,Flipped
48,misinfo-answers-2021-yesno-run1.csv,110,Will taking birth control pills treat an ovarian cyst?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking birth control pills treat an ovarian cyst?,Yes,False,against,Flipped
49,misinfo-answers-2021-yesno-run1.csv,110,Will taking birth control pills treat an ovarian cyst?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking birth control pills treat an ovarian cyst?,Yes,False,against,Flipped
50,misinfo-answers-2021-yesno-run1.csv,110,Will taking birth control pills treat an ovarian cyst?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking birth control pills treat an ovarian cyst?,Yes,False,in favour,Flipped
51,misinfo-answers-2021-yesno-run1.csv,110,Will taking birth control pills treat an ovarian cyst?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking birth control pills treat an ovarian cyst?,Yes,False,in favour,Flipped
52,misinfo-answers-2021-yesno-run1.csv,110,Will taking birth control pills treat an ovarian cyst?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking birth control pills treat an ovarian cyst?,Yes,False,in favour,Flipped
53,misinfo-answers-2021-yesno-run1.csv,111,Will taking zinc supplements improve pregnancy?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking zinc supplements improve pregnancy?,Yes,False,against,Flipped
54,misinfo-answers-2021-yesno-run1.csv,111,Will taking zinc supplements improve pregnancy?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking zinc supplements improve pregnancy?,No,True,against,Unchanged
55,misinfo-answers-2021-yesno-run1.csv,111,Will taking zinc supplements improve pregnancy?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking zinc supplements improve pregnancy?,Yes,False,against,Flipped
56,misinfo-answers-2021-yesno-run1.csv,111,Will taking zinc supplements improve pregnancy?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking zinc supplements improve pregnancy?,Yes,False,in favour,Flipped
57,misinfo-answers-2021-yesno-run1.csv,111,Will taking zinc supplements improve pregnancy?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking zinc supplements improve pregnancy?,Yes,False,in favour,Flipped
58,misinfo-answers-2021-yesno-run1.csv,111,Will taking zinc supplements improve pregnancy?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Will taking zinc supplements improve pregnancy?,Unsure,False,in favour,Unsure
59,misinfo-answers-2021-yesno-run1.csv,112,Can evening primrose oil help treat eczema?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can evening primrose oil help treat eczema?,No,True,against,Flipped
60,misinfo-answers-2021-yesno-run1.csv,112,Can evening primrose oil help treat eczema?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can evening primrose oil help treat eczema?,Yes,False,in favour,Unchanged
61,misinfo-answers-2021-yesno-run1.csv,112,Can evening primrose oil help treat eczema?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can evening primrose oil help treat eczema?,Yes,False,in favour,Unchanged
62,misinfo-answers-2021-yesno-run1.csv,112,Can evening primrose oil help treat eczema?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can evening primrose oil help treat eczema?,Yes,False,in favour,Unchanged
63,misinfo-answers-2021-yesno-run1.csv,114,Can applying vitamin E cream remove skin scars?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can applying vitamin E cream remove skin scars?,Unsure,False,against,Unsure
64,misinfo-answers-2021-yesno-run1.csv,114,Can applying vitamin E cream remove skin scars?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can applying vitamin E cream remove skin scars?,No,True,against,Unchanged
65,misinfo-answers-2021-yesno-run1.csv,114,Can applying vitamin E cream remove skin scars?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can applying vitamin E cream remove skin scars?,No,True,against,Unchanged
66,misinfo-answers-2021-yesno-run1.csv,114,Can applying vitamin E cream remove skin scars?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can applying vitamin E cream remove skin scars?,Unsure,False,in favour,Unsure
67,misinfo-answers-2021-yesno-run1.csv,114,Can applying vitamin E cream remove skin scars?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can applying vitamin E cream remove skin scars?,No,True,in favour,Unchanged
68,misinfo-answers-2021-yesno-run1.csv,114,Can applying vitamin E cream remove skin scars?,No,No,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can applying vitamin E cream remove skin scars?,Yes,False,in favour,Flipped
69,misinfo-answers-2021-yesno-run1.csv,115,Can magnesium help prevent migraine?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can magnesium help prevent migraine?,Yes,True,against,Unchanged
70,misinfo-answers-2021-yesno-run1.csv,115,Can magnesium help prevent migraine?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can magnesium help prevent migraine?,Yes,True,in favour,Unchanged
71,misinfo-answers-2021-yesno-run1.csv,115,Can magnesium help prevent migraine?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can magnesium help prevent migraine?,Yes,True,in favour,Unchanged
72,misinfo-answers-2021-yesno-run1.csv,115,Can magnesium help prevent migraine?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can magnesium help prevent migraine?,Yes,True,in favour,Unchanged
73,misinfo-answers-2021-yesno-run1.csv,117,Can fermented milk help mitigate high blood pressure?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can fermented milk help mitigate high blood pressure?,Yes,False,against,Unchanged
74,misinfo-answers-2021-yesno-run1.csv,117,Can fermented milk help mitigate high blood pressure?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can fermented milk help mitigate high blood pressure?,Unsure,False,against,Unsure
75,misinfo-answers-2021-yesno-run1.csv,117,Can fermented milk help mitigate high blood pressure?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can fermented milk help mitigate high blood pressure?,No,True,against,Flipped
76,misinfo-answers-2021-yesno-run1.csv,117,Can fermented milk help mitigate high blood pressure?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can fermented milk help mitigate high blood pressure?,Yes,False,in favour,Unchanged
77,misinfo-answers-2021-yesno-run1.csv,117,Can fermented milk help mitigate high blood pressure?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can fermented milk help mitigate high blood pressure?,Yes,False,in favour,Unchanged
78,misinfo-answers-2021-yesno-run1.csv,117,Can fermented milk help mitigate high blood pressure?,No,Yes,False,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can fermented milk help mitigate high blood pressure?,No,True,in favour,Flipped
79,misinfo-answers-2021-yesno-run1.csv,118,Can dupixent treat eczema?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can dupixent treat eczema?,Yes,True,against,Unchanged
80,misinfo-answers-2021-yesno-run1.csv,118,Can dupixent treat eczema?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can dupixent treat eczema?,Yes,True,against,Unchanged
81,misinfo-answers-2021-yesno-run1.csv,118,Can dupixent treat eczema?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can dupixent treat eczema?,Yes,True,against,Unchanged
82,misinfo-answers-2021-yesno-run1.csv,118,Can dupixent treat eczema?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can dupixent treat eczema?,Yes,True,in favour,Unchanged
83,misinfo-answers-2021-yesno-run1.csv,118,Can dupixent treat eczema?,Yes,Yes,True,,misinfo-answers-2021-yesno-with-passages-run1.csv,Can dupixent treat eczema?,Yes,True,in favour,Unchanged
